Detector Type, #keypoints, Detection Time (ms)
SHITOMASI,1370,32.142467
HARRIS,683,322.213593
FAST,1824,1.469259
BRISK,2757,40.653339
ORB,500,12.446171
AKAZE,1351,126.079086
SIFT,1438,180.487030
